reported_hunt_year,model_target_year,source_class,species,page_title,hunt_code,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,average_days,percent_success,hunter_satisfaction,data_granularity,source_file,source_file_sha256,source_page,parse_status,harvest_quality_year,quality_feature_status,trend_feature_eligible,trend_feature_note,quota_use_status,draw_probability_use_status,do_not_use_for_permit_quota,do_not_use_for_p_draw_directly,raw_record
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI0001,Antelope Island,OIAL,Any Legal Weapon,5,5,5.0,1.0,100.0,5.0,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,BI0001 Antelope Island OIAL Any Legal Weapon 5 5 5 1.0 100.0 5.0
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6500,Antelope Island,OIAL,Any Legal Weapon,2,2,2.0,1.0,100.0,5.0,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,BI6500 Antelope Island OIAL Any Legal Weapon 2 2 2 1.0 100.0 5.0
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6503,Henry Mtns,OIAL,Any Legal Weapon,13,13,12.0,4.2,92.3,4.5,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,BI6503 Henry Mtns OIAL Any Legal Weapon 13 13 12 4.2 92.3 4.5
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6504,Henry Mtns,OIAL,Any Legal Weapon,11,11,9.0,4.5,81.8,4.3,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,BI6504 Henry Mtns OIAL Any Legal Weapon 11 11 9 4.5 81.8 4.3
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6505,Henry Mtns,OIAL,Any Legal Weapon,22,22,13.0,5.3,59.1,3.6,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,BI6505 Henry Mtns OIAL Any Legal Weapon 22 22 13 5.3 59.1 3.6
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6506,Henry Mtns,OIAL,Any Legal Weapon,22,22,18.0,5.4,83.3,3.9,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,BI6506 Henry Mtns OIAL Any Legal Weapon 22 22 18 5.4 83.3 3.9
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6509,Henry Mtns,OIAL,Archery,5,3,0.0,7.0,0.0,5.0,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,BI6509 Henry Mtns OIAL Archery 5 3 0 7.0 0.0 5.0
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6516,Henry Mtns,OIAL,Any Legal Weapon,10,9,7.0,5.1,77.8,4.2,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,BI6516 Henry Mtns OIAL Any Legal Weapon 10 9 7 5.1 77.8 4.2
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6528,"Book Cliffs, Little Creek/South",OIAL,Archery,10,10,10.0,4.2,100.0,4.0,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,"BI6528 Book Cliffs, Little Creek/South OIAL Archery 10 10 10 4.2 100.0 4.0"
2023,2024,harvest_results,Bison,2023 Once-in-a-Lifetime Bison,BI6529,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,15,11,10.0,4.1,88.9,3.2,hunt_code_aggregate,2023 Hunt Success.pdf,e956b40760fe0d96125d628100dc499ea88696989dd3bafa755e477b769ddb5f,1,OK,2023,HUNT_CODE_AGGREGATE_HARVEST_SUCCESS,True,Use as historical harvest/quality feature by hunt_code; do not use as quota or direct draw odds.,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW,True,True,"BI6529 Book Cliffs, Little Creek/South OIAL Any Legal Weapon 15 11 10 4.1 88.9 3.2"
